Chocolate Fruit Loops,Chocolate icecream with crushed fruit loops,6,9.9
Mango Cheese Cake,Mango flavored Cheescake icecream with mango chunks,8,9.39
Red Velvet Cheesecake,Red Velvet flavoured Cheesecake icecream,6,6.73
Watermelon,Watermelon flavoured icecream,9,1.54
Honey Dew,Honey Dew flavoured icecream,9,7.26
Papaya,Papaya flavoured icecream,8,8.24
Milk Tea,Milk Tea flavoured icecream,8,3.65
Chocolate Chip Cheesecake,Cheesecake icecream with chocolate chips,10,7.48
Matcha Chocolate chip,Matcha icecream with Chocolate chips,7,7.47
Neopolitan,"Chocolate, Vanilla, and strawberry icecream",7,2.01
Grape ,Grape flavoured icecream,8,7.9
Durian,Durian flavoured icecream with curian chunks,9,3.2
Butterscotch ,Butterscotch flavoured icecream,6,4.7
Crazy Chocolate,"Chocolate icecream with mars bars chunks, skor chunks, butter finger chunks",6,3.51
The O'Henry,Chocolate icecream with O'Henry bars chunks,7,6.84
Skor,Chocolate icecream with Skor bars chunks,5,4.14
Reese Cups,Reese flavoured chocolate icecream with reese cups chunks,10,6.94
Dragon,"Watermelon, honeydew, mango, and papaya icecream mixed together",6,6.75
Maple walnut,Maple flavoured icecream with crushed walnuts,6,5.98
Rum Rasin,Vanila icream with rasins,9,4.85
Bubble Gum,Bubble Gum flavoured vanilla icecream,5,5.52
World Class,Dark chocolate and vanilla icecream mixed together,10,6.55
Pralines n Cream,Vanilla icecream with crushed pralines pecans,5,9.47
Pumpkin Pie,Pumpkin pie flavoured icecream,8,1.37
Raspberry and White chocolate,Rasberry and white chocolate icecream mixed together,7,7.1
Vanilla Swiss Almond,Vanilla with swiss almond cream,7,4.98
Pineapple ,Pineapple flavoured icecream with pineapple chunks,5,6.79
Orange,Orange flavoured icecream,6,8.94
Black Raspberry chip,Black Raspberry icecream with chocolate chip,8,2.21
Red Bean Chip,Read bean icecream with chocolate chip,7,9.5
Blueberry Chip,Blueberry icecream with chocolate chip,7,4.31
Peppermint,Peppermint flavoured icecream,5,2.44
Cherry Chip,Cherry icecream with Chocolate chips,5,2.18
Mango Chip,Mango icecream with chocolate chip,9,9.8
Banana Chip,Banana icecream with chocolate chip,6,5.03
Matcha Cheesecake,matcha flavoured cheesecake icecream,7,3.4
Peach mango,Peach mango flavoured icecream,8,1.97
White Chocolate,Vanilla icecream with white chocolate chunks,8,6.05
Taquila ,Vanilla Icecream with a hint of taquila,5,2.54
Whisky,Butterscotch icecream with a hint of whisky,7,5.85
Cherry Cheesecace,Cherry flavoured cheesecake icecream,5,4.9
Egg nog,Egg nog flavoured icecream,7,1.16
Merry Christmas,"Strawberry, mint and chocolate icecream mixed together",5,9.73
Mocha,Mocha flavoured icecream,5,5.79
Toffee Delight,Toffee flavoured icecream,6,9.95
Red Velvet Chip,Red Velvet icecream with chocolate chip,8,2.15
Cotton Canry chip,Cotton candy icecream with chocolate chip,6,6.82
Keso,Cheese flavoured icecream with cheese chunks,10,1.92
Charcoal,black colored vanilla icecream,5,8.52
